event_id,role_id,candidate_id,source,stage,event_age_days,profile_complete_pct,duplicate_candidate_flag,missing_rate_flag,location_mismatch_flag,skill_taxonomy_gap_flag,estimated_margin_value
EVT00001,REQ001,CAND00001,LinkedIn,qualified,40,0.87,0,0,0,0,11247
EVT00002,REQ001,CAND00002,Job board,applied,24,0.72,0,0,0,0,11155
EVT00003,REQ001,CAND00003,Job board,applied,21,0.93,0,0,0,0,9315
EVT00004,REQ001,CAND00004,Referral,applied,23,0.98,0,0,0,0,6693
EVT00005,REQ001,CAND00005,LinkedIn,screened,47,0.69,0,0,0,0,6210
EVT00006,REQ001,CAND00006,Referral,qualified,60,0.95,1,0,0,0,8648
EVT00007,REQ001,CAND00007,Talent pool,applied,25,0.72,0,0,0,0,9453
EVT00008,REQ001,CAND00008,Community event,interview,42,0.85,0,0,0,1,4830
EVT00009,REQ001,CAND00009,Referral,qualified,20,0.79,0,0,0,0,11730
EVT00010,REQ001,CAND00010,LinkedIn,submitted,0,0.6,0,0,0,0,5106
EVT00011,REQ001,CAND00011,Community event,submitted,0,0.84,0,0,0,1,5681
EVT00012,REQ001,CAND00012,Recruiter outreach,applied,8,0.93,0,1,0,0,6256
EVT00013,REQ001,CAND00013,Job board,offer,17,0.72,0,0,0,0,8510
EVT00014,REQ001,CAND00014,LinkedIn,qualified,16,0.67,0,0,0,0,3013
EVT00015,REQ001,CAND00015,LinkedIn,screened,32,0.9,0,0,1,0,10097
EVT00016,REQ001,CAND00016,Community event,applied,53,0.77,0,0,1,0,4209
EVT00017,REQ001,CAND00017,Job board,screened,12,0.86,0,0,0,0,5934
EVT00018,REQ001,CAND00018,Talent pool,screened,36,0.63,0,0,0,0,4002
EVT00019,REQ001,CAND00019,Job board,qualified,52,0.7,0,0,0,0,3220
EVT00020,REQ001,CAND00020,Recruiter outreach,screened,11,0.96,0,0,0,1,9499
EVT00021,REQ001,CAND00021,LinkedIn,screened,32,0.85,0,0,0,0,8119
EVT00022,REQ001,CAND00022,LinkedIn,placed,37,0.73,0,1,0,1,10718
EVT00023,REQ001,CAND00023,Talent pool,qualified,21,0.72,0,0,1,0,7912
EVT00024,REQ001,CAND00024,LinkedIn,offer,51,0.98,0,0,0,0,5957
EVT00025,REQ001,CAND00025,Talent pool,submitted,16,0.87,0,0,0,0,3450
EVT00026,REQ001,CAND00026,Recruiter outreach,placed,56,0.66,0,0,0,0,7222
EVT00027,REQ001,CAND00027,Job board,submitted,61,0.97,0,0,0,0,4071
EVT00028,REQ001,CAND00028,Job board,interview,67,0.9,0,0,1,0,9545
EVT00029,REQ002,CAND00029,Community event,screened,6,0.76,0,0,0,0,20664
EVT00030,REQ002,CAND00030,LinkedIn,applied,3,0.58,0,0,0,0,8400
EVT00031,REQ002,CAND00031,Job board,qualified,21,0.99,0,0,0,0,6090
EVT00032,REQ002,CAND00032,Job board,qualified,28,0.62,0,0,0,0,15750
EVT00033,REQ002,CAND00033,Referral,qualified,35,0.81,0,0,0,0,6972
EVT00034,REQ002,CAND00034,Community event,submitted,29,0.98,0,0,0,0,12852
EVT00035,REQ002,CAND00035,Recruiter outreach,submitted,23,0.88,0,0,0,0,7476
EVT00036,REQ002,CAND00036,Talent pool,applied,35,0.8,1,0,0,0,20118
EVT00037,REQ002,CAND00037,Recruiter outreach,applied,16,0.84,0,0,0,0,9072
EVT00038,REQ002,CAND00038,Recruiter outreach,applied,26,0.6,0,0,0,0,18648
EVT00039,REQ002,CAND00039,Job board,submitted,8,0.98,0,0,0,0,5124
EVT00040,REQ002,CAND00040,Referral,qualified,11,0.87,0,0,0,0,8736
EVT00041,REQ002,CAND00041,LinkedIn,submitted,24,0.76,0,0,0,0,18102
EVT00042,REQ002,CAND00042,Talent pool,interview,8,0.64,0,0,0,0,17976
EVT00043,REQ002,CAND00043,Talent pool,screened,35,0.85,0,0,0,0,9324
EVT00044,REQ002,CAND00044,Talent pool,applied,11,0.79,0,0,0,0,19950
EVT00045,REQ002,CAND00045,Talent pool,screened,26,0.86,0,0,0,0,16506
EVT00046,REQ002,CAND00046,Recruiter outreach,applied,3,0.66,0,0,1,0,21168
EVT00047,REQ002,CAND00047,Community event,submitted,13,0.9,0,0,0,0,5712
EVT00048,REQ002,CAND00048,Job board,qualified,35,0.74,0,0,0,0,16002
EVT00049,REQ002,CAND00049,Talent pool,submitted,20,0.99,0,0,0,0,6174
EVT00050,REQ002,CAND00050,LinkedIn,applied,23,0.9,0,0,0,0,16758
EVT00051,REQ002,CAND00051,LinkedIn,submitted,4,0.66,0,0,0,0,8736
EVT00052,REQ002,CAND00052,Referral,submitted,16,0.58,1,0,0,0,15036
EVT00053,REQ002,CAND00053,LinkedIn,screened,19,0.79,0,0,0,0,17346
EVT00054,REQ002,CAND00054,Referral,screened,32,0.65,0,0,0,0,16716
EVT00055,REQ002,CAND00055,Referral,qualified,13,0.98,0,0,0,0,18312
EVT00056,REQ002,CAND00056,Community event,qualified,28,0.68,0,0,1,0,18816
EVT00057,REQ002,CAND00057,Job board,screened,7,0.74,0,0,0,0,16632
EVT00058,REQ002,CAND00058,Referral,submitted,31,0.6,0,0,0,0,19026
EVT00059,REQ002,CAND00059,Job board,applied,0,0.84,0,0,0,0,9534
EVT00060,REQ002,CAND00060,Talent pool,screened,27,0.85,0,0,0,0,6552
EVT00061,REQ002,CAND00061,LinkedIn,submitted,16,0.81,0,0,0,1,17388
EVT00062,REQ002,CAND00062,Recruiter outreach,submitted,24,0.86,0,0,0,0,16506
EVT00063,REQ002,CAND00063,Talent pool,applied,22,0.97,0,0,0,0,7308
EVT00064,REQ002,CAND00064,Talent pool,applied,1,0.78,0,0,0,0,16506
EVT00065,REQ002,CAND00065,Talent pool,applied,19,0.86,0,0,0,0,20706
EVT00066,REQ002,CAND00066,Community event,screened,25,0.81,1,0,0,1,6846
EVT00067,REQ002,CAND00067,Talent pool,qualified,32,0.64,0,0,0,0,8988
EVT00068,REQ002,CAND00068,Recruiter outreach,applied,35,0.77,0,0,0,0,16842
EVT00069,REQ002,CAND00069,Talent pool,applied,22,0.63,0,0,0,0,19110
EVT00070,REQ002,CAND00070,LinkedIn,applied,19,0.87,0,0,0,0,8316
EVT00071,REQ002,CAND00071,LinkedIn,screened,14,0.88,0,0,1,0,18816
EVT00072,REQ002,CAND00072,Recruiter outreach,qualified,22,0.91,0,0,0,0,15498
EVT00073,REQ002,CAND00073,LinkedIn,screened,34,0.66,0,0,0,0,20790
EVT00074,REQ002,CAND00074,Referral,interview,25,0.9,0,1,0,1,9576
EVT00075,REQ002,CAND00075,Job board,interview,23,0.74,0,0,0,0,21630
EVT00076,REQ003,CAND00076,LinkedIn,submitted,30,0.94,0,0,0,0,12586
EVT00077,REQ003,CAND00077,Talent pool,screened,18,0.89,0,0,0,0,10643
EVT00078,REQ003,CAND00078,Referral,offer,26,0.8,0,0,0,0,8816
EVT00079,REQ003,CAND00079,Recruiter outreach,qualified,35,0.93,0,1,0,0,7366
EVT00080,REQ003,CAND00080,Job board,screened,9,0.8,0,0,0,0,9048
EVT00081,REQ003,CAND00081,LinkedIn,placed,0,0.79,0,0,0,0,5539
EVT00082,REQ003,CAND00082,LinkedIn,qualified,15,0.86,0,0,0,0,9628
EVT00083,REQ003,CAND00083,Talent pool,submitted,52,0.59,0,0,0,0,4118
EVT00084,REQ003,CAND00084,Job board,applied,21,0.69,0,0,0,0,6148
EVT00085,REQ003,CAND00085,Job board,qualified,36,0.98,0,0,0,0,6670
EVT00086,REQ003,CAND00086,Community event,qualified,23,0.84,0,0,0,0,11049
EVT00087,REQ003,CAND00087,Talent pool,applied,49,0.64,0,0,0,0,3712
EVT00088,REQ003,CAND00088,Recruiter outreach,applied,60,0.96,0,0,0,1,12383
EVT00089,REQ003,CAND00089,Talent pool,applied,0,0.96,0,0,0,0,14964
EVT00090,REQ003,CAND00090,Job board,screened,61,0.91,0,0,0,0,9135
EVT00091,REQ003,CAND00091,Recruiter outreach,qualified,32,0.78,0,0,0,0,6931
EVT00092,REQ003,CAND00092,Referral,interview,0,0.82,0,0,0,1,5220
EVT00093,REQ003,CAND00093,LinkedIn,qualified,54,0.85,0,0,0,0,7221
EVT00094,REQ003,CAND00094,Job board,applied,26,0.75,0,0,0,0,11745
EVT00095,REQ003,CAND00095,LinkedIn,qualified,50,0.89,0,0,0,0,13253
EVT00096,REQ003,CAND00096,LinkedIn,applied,43,0.92,0,0,1,0,12586
EVT00097,REQ003,CAND00097,Talent pool,screened,18,0.78,0,0,1,1,12383
EVT00098,REQ003,CAND00098,Referral,qualified,51,0.84,0,0,1,0,11194
EVT00099,REQ003,CAND00099,Community event,applied,1,0.66,0,0,0,0,13224
EVT00100,REQ003,CAND00100,Job board,offer,21,0.86,0,0,0,0,8816
EVT00101,REQ003,CAND00101,Referral,applied,50,0.75,0,0,0,0,6438
EVT00102,REQ003,CAND00102,Talent pool,qualified,44,0.73,0,0,0,0,7569
EVT00103,REQ003,CAND00103,Community event,applied,13,0.81,0,0,1,0,10933
EVT00104,REQ003,CAND00104,Recruiter outreach,applied,32,0.87,0,0,0,0,9077
EVT00105,REQ003,CAND00105,Talent pool,screened,3,0.78,0,0,0,0,7308
EVT00106,REQ003,CAND00106,Talent pool,applied,45,0.8,0,0,0,0,3596
EVT00107,REQ003,CAND00107,LinkedIn,screened,22,0.78,0,0,0,0,8729
EVT00108,REQ003,CAND00108,Job board,applied,25,0.68,0,0,0,0,7047
EVT00109,REQ003,CAND00109,LinkedIn,interview,13,0.63,0,0,0,0,4640
EVT00110,REQ003,CAND00110,Talent pool,screened,61,0.74,0,0,0,1,8149
EVT00111,REQ003,CAND00111,Community event,qualified,35,0.75,0,0,0,0,14616
EVT00112,REQ003,CAND00112,Referral,screened,50,0.94,0,0,0,0,14993
EVT00113,REQ003,CAND00113,Community event,applied,26,0.74,0,0,0,1,4959
EVT00114,REQ003,CAND00114,Job board,qualified,43,0.73,0,0,0,0,10875
EVT00115,REQ003,CAND00115,Job board,qualified,16,0.99,0,0,0,0,13659
EVT00116,REQ003,CAND00116,Referral,applied,18,0.92,0,0,0,0,14442
EVT00117,REQ003,CAND00117,Recruiter outreach,applied,40,0.91,0,0,0,0,7917
EVT00118,REQ004,CAND00118,Job board,screened,30,0.93,0,0,0,0,4732
EVT00119,REQ004,CAND00119,LinkedIn,qualified,1,0.75,0,0,0,0,8372
