entity_id,entity_name,segment,owner
BUS001,Business decision segment 1,Watch,Operations
BUS002,Business decision segment 2,Growth,Analytics
BUS003,Business decision segment 3,Core,Revenue
BUS004,Business decision segment 4,Growth,Product
BUS005,Business decision segment 5,Strategic,Analytics
BUS006,Business decision segment 6,Strategic,Customer
BUS007,Business decision segment 7,Growth,Product
BUS008,Business decision segment 8,Watch,Customer
BUS009,Business decision segment 9,Strategic,Product
BUS010,Business decision segment 10,Growth,Analytics
BUS011,Business decision segment 11,Growth,Product
BUS012,Business decision segment 12,Strategic,Revenue
BUS013,Business decision segment 13,Core,Product
BUS014,Business decision segment 14,Growth,Product
BUS015,Business decision segment 15,Strategic,Customer
BUS016,Business decision segment 16,Core,Analytics
BUS017,Business decision segment 17,Strategic,Analytics
BUS018,Business decision segment 18,Watch,Revenue
BUS019,Business decision segment 19,Growth,Revenue
BUS020,Business decision segment 20,Strategic,Analytics
BUS021,Business decision segment 21,Watch,Product
BUS022,Business decision segment 22,Strategic,Analytics
BUS023,Business decision segment 23,Growth,Product
BUS024,Business decision segment 24,Core,Operations
BUS025,Business decision segment 25,Strategic,Analytics
BUS026,Business decision segment 26,Watch,Product
BUS027,Business decision segment 27,Watch,Analytics
BUS028,Business decision segment 28,Growth,Analytics
BUS029,Business decision segment 29,Core,Revenue
BUS030,Business decision segment 30,Strategic,Product
BUS031,Business decision segment 31,Growth,Revenue
BUS032,Business decision segment 32,Strategic,Product
BUS033,Business decision segment 33,Core,Revenue
BUS034,Business decision segment 34,Strategic,Customer
BUS035,Business decision segment 35,Watch,Product
BUS036,Business decision segment 36,Core,Product
