event_id,event_date,entity_id,event_type,severity,estimated_impact
EV0001,2026-01-01,BUS009,exception,Medium,38271
EV0002,2026-01-02,BUS018,exception,Medium,16252
EV0003,2026-01-03,BUS004,exception,High,51154
EV0004,2026-01-04,BUS008,exception,High,34468
EV0005,2026-01-05,BUS023,exception,High,25708
EV0006,2026-01-06,BUS010,handoff,Medium,37036
EV0007,2026-01-07,BUS022,experiment,Medium,24737
EV0008,2026-01-08,BUS030,experiment,Medium,43297
EV0009,2026-01-09,BUS023,launch,Medium,15693
EV0010,2026-01-10,BUS020,exception,High,28386
EV0011,2026-01-11,BUS009,stakeholder_request,Low,12399
EV0012,2026-01-12,BUS015,exception,High,2194
EV0013,2026-01-13,BUS031,handoff,Medium,13997
EV0014,2026-01-14,BUS010,experiment,Medium,40044
EV0015,2026-01-15,BUS018,stakeholder_request,High,50111
EV0016,2026-01-16,BUS011,qa_check,Low,7594
EV0017,2026-01-17,BUS011,qa_check,High,23225
EV0018,2026-01-18,BUS005,experiment,Medium,9948
EV0019,2026-01-19,BUS002,experiment,High,17788
EV0020,2026-01-20,BUS035,qa_check,Medium,19993
EV0021,2026-01-21,BUS006,experiment,Medium,46031
EV0022,2026-01-22,BUS012,launch,Low,24955
EV0023,2026-01-23,BUS028,stakeholder_request,Medium,3004
EV0024,2026-01-24,BUS028,qa_check,High,21665
EV0025,2026-01-25,BUS021,stakeholder_request,Medium,36836
EV0026,2026-01-26,BUS013,qa_check,Low,15058
EV0027,2026-01-27,BUS013,launch,Low,46709
EV0028,2026-01-28,BUS031,exception,Medium,19877
EV0029,2026-01-29,BUS019,experiment,High,8052
EV0030,2026-01-30,BUS032,qa_check,Medium,14106
EV0031,2026-01-31,BUS010,experiment,High,43453
EV0032,2026-02-01,BUS030,exception,Medium,50112
EV0033,2026-02-02,BUS024,qa_check,Low,33295
EV0034,2026-02-03,BUS019,stakeholder_request,Medium,8519
EV0035,2026-02-04,BUS018,qa_check,Low,2101
EV0036,2026-02-05,BUS028,stakeholder_request,Medium,24785
EV0037,2026-02-06,BUS035,launch,Low,44608
EV0038,2026-02-07,BUS024,qa_check,Low,43512
EV0039,2026-02-08,BUS011,handoff,Medium,49053
EV0040,2026-02-09,BUS029,exception,High,45464
EV0041,2026-02-10,BUS028,launch,Medium,41678
EV0042,2026-02-11,BUS007,stakeholder_request,Medium,20310
EV0043,2026-02-12,BUS006,launch,High,19461
EV0044,2026-02-13,BUS003,exception,High,45586
EV0045,2026-02-14,BUS015,experiment,High,43554
EV0046,2026-02-15,BUS018,launch,Low,8369
EV0047,2026-02-16,BUS020,exception,Low,26950
EV0048,2026-02-17,BUS022,exception,Medium,51180
EV0049,2026-02-18,BUS004,launch,Medium,40366
EV0050,2026-02-19,BUS003,qa_check,Low,42593
EV0051,2026-02-20,BUS023,handoff,High,3338
EV0052,2026-02-21,BUS034,experiment,Low,29580
EV0053,2026-02-22,BUS027,launch,Low,48045
EV0054,2026-02-23,BUS018,handoff,Medium,23554
EV0055,2026-02-24,BUS008,experiment,High,10849
EV0056,2026-02-25,BUS001,launch,Low,47149
EV0057,2026-02-26,BUS027,stakeholder_request,Medium,8543
EV0058,2026-02-27,BUS004,qa_check,Medium,29709
EV0059,2026-02-28,BUS019,exception,Medium,39337
EV0060,2026-03-01,BUS003,experiment,High,14995
EV0061,2026-03-02,BUS029,handoff,Medium,50546
EV0062,2026-03-03,BUS034,qa_check,Medium,11620
EV0063,2026-03-04,BUS035,stakeholder_request,Low,9505
EV0064,2026-03-05,BUS014,stakeholder_request,High,1191
EV0065,2026-03-06,BUS027,launch,Medium,29199
EV0066,2026-03-07,BUS016,handoff,Medium,1175
EV0067,2026-03-08,BUS035,experiment,High,33619
EV0068,2026-03-09,BUS002,exception,Medium,27991
EV0069,2026-03-10,BUS013,exception,Medium,44322
EV0070,2026-03-11,BUS012,experiment,High,11803
EV0071,2026-03-12,BUS031,experiment,High,6731
EV0072,2026-03-13,BUS030,stakeholder_request,High,23553
EV0073,2026-03-14,BUS005,launch,High,31629
EV0074,2026-03-15,BUS014,handoff,High,41694
EV0075,2026-03-16,BUS020,launch,High,21896
EV0076,2026-03-17,BUS036,launch,Low,31155
EV0077,2026-03-18,BUS006,exception,High,23446
EV0078,2026-03-19,BUS012,stakeholder_request,Medium,25518
EV0079,2026-03-20,BUS016,handoff,High,12893
EV0080,2026-03-21,BUS005,qa_check,Medium,6414
EV0081,2026-03-22,BUS032,launch,High,48932
EV0082,2026-03-23,BUS019,experiment,High,43643
EV0083,2026-03-24,BUS009,launch,High,14939
EV0084,2026-03-25,BUS032,exception,Low,26506
EV0085,2026-03-26,BUS033,qa_check,Medium,34294
EV0086,2026-03-27,BUS031,handoff,Low,16357
EV0087,2026-03-28,BUS027,experiment,High,13413
EV0088,2026-03-29,BUS030,exception,High,35882
EV0089,2026-03-30,BUS033,handoff,Low,12011
EV0090,2026-03-31,BUS020,stakeholder_request,Low,16082
EV0091,2026-04-01,BUS021,qa_check,High,50071
EV0092,2026-04-02,BUS011,qa_check,Medium,3991
EV0093,2026-04-03,BUS010,stakeholder_request,Low,21047
EV0094,2026-04-04,BUS036,exception,Low,13096
EV0095,2026-04-05,BUS007,handoff,High,20267
EV0096,2026-04-06,BUS005,launch,Low,31494
EV0097,2026-04-07,BUS004,launch,High,7074
EV0098,2026-04-08,BUS017,launch,Medium,33250
EV0099,2026-04-09,BUS016,handoff,Low,36671
EV0100,2026-04-10,BUS019,launch,Medium,44487
EV0101,2026-04-11,BUS031,qa_check,High,31691
EV0102,2026-04-12,BUS001,launch,Low,6688
EV0103,2026-04-13,BUS024,launch,Low,20486
EV0104,2026-04-14,BUS033,experiment,High,3718
EV0105,2026-04-15,BUS010,handoff,Low,18136
EV0106,2026-04-16,BUS014,exception,High,28565
EV0107,2026-04-17,BUS009,stakeholder_request,High,13671
EV0108,2026-04-18,BUS023,exception,High,10803
EV0109,2026-04-19,BUS007,experiment,Low,12015
EV0110,2026-04-20,BUS018,qa_check,Low,1766
EV0111,2026-04-21,BUS020,stakeholder_request,High,27655
EV0112,2026-04-22,BUS030,exception,Medium,2450
EV0113,2026-04-23,BUS008,qa_check,Medium,30014
EV0114,2026-04-24,BUS024,exception,High,625
EV0115,2026-04-25,BUS028,qa_check,Medium,46559
EV0116,2026-04-26,BUS011,launch,High,11173
EV0117,2026-04-27,BUS028,stakeholder_request,Low,11617
EV0118,2026-04-28,BUS004,stakeholder_request,Medium,16643
EV0119,2026-04-29,BUS024,experiment,Medium,30413
EV0120,2026-04-30,BUS007,qa_check,High,14016
EV0121,2026-05-01,BUS025,exception,Low,28329
EV0122,2026-05-02,BUS032,experiment,High,13207
EV0123,2026-05-03,BUS014,stakeholder_request,Medium,21377
EV0124,2026-05-04,BUS034,handoff,High,38766
EV0125,2026-05-05,BUS004,launch,High,29394
EV0126,2026-05-06,BUS026,qa_check,High,31811
EV0127,2026-05-07,BUS010,experiment,Medium,43956
EV0128,2026-05-08,BUS001,experiment,Low,12675
EV0129,2026-05-09,BUS012,handoff,Medium,51010
EV0130,2026-05-10,BUS029,exception,Low,40770
EV0131,2026-05-11,BUS027,launch,High,5223
EV0132,2026-05-12,BUS026,stakeholder_request,Medium,23177
EV0133,2026-05-13,BUS021,exception,Medium,13552
EV0134,2026-05-14,BUS018,experiment,High,41443
EV0135,2026-05-15,BUS002,launch,Medium,7034
EV0136,2026-05-16,BUS001,handoff,Medium,12110
EV0137,2026-05-17,BUS030,experiment,Medium,33789
EV0138,2026-05-18,BUS013,qa_check,Low,19951
EV0139,2026-05-19,BUS004,qa_check,High,40249
