week_start,role_id,applicants,qualified,screened,submitted,client_interviews,offers,placements,candidate_dropoffs,recruiter_touches
2026-03-23,REQ001,39,17,10,3,1,0,0,11,10
2026-03-30,REQ001,30,11,8,3,0,0,0,6,9
2026-04-06,REQ001,31,13,10,4,1,0,0,6,23
2026-04-13,REQ001,28,11,8,3,1,0,0,7,33
2026-04-20,REQ001,36,13,8,3,0,0,0,8,31
2026-04-27,REQ001,30,13,8,3,0,0,0,5,10
2026-05-04,REQ001,37,12,8,2,0,0,0,7,16
2026-05-11,REQ001,38,20,12,3,0,0,0,10,15
2026-03-23,REQ002,27,12,7,2,0,0,0,6,12
2026-03-30,REQ002,32,8,6,3,1,0,0,7,30
2026-04-06,REQ002,27,11,9,3,1,0,0,5,20
2026-04-13,REQ002,38,11,8,4,1,0,0,8,27
2026-04-20,REQ002,36,15,11,3,1,0,0,9,18
2026-04-27,REQ002,26,9,6,3,1,0,0,4,21
2026-05-04,REQ002,28,10,7,3,1,0,0,8,26
2026-05-11,REQ002,29,12,9,3,1,0,0,7,29
2026-03-23,REQ003,14,4,3,1,0,0,0,5,30
2026-03-30,REQ003,17,6,4,1,0,0,0,3,30
2026-04-06,REQ003,15,5,3,1,0,0,0,7,26
2026-04-13,REQ003,14,5,3,2,1,0,0,4,16
2026-04-20,REQ003,14,5,3,1,0,0,0,7,23
2026-04-27,REQ003,14,5,4,2,1,0,0,3,13
2026-05-04,REQ003,14,5,3,1,0,0,0,7,35
2026-05-11,REQ003,17,4,2,1,0,0,0,4,35
2026-03-23,REQ004,34,12,8,4,2,0,0,6,10
2026-03-30,REQ004,48,18,14,8,3,0,0,7,22
2026-04-06,REQ004,37,20,13,7,1,0,0,8,28
2026-04-13,REQ004,36,20,12,5,1,0,0,12,23
2026-04-20,REQ004,37,15,11,6,2,0,0,9,26
2026-04-27,REQ004,43,27,18,9,3,1,0,9,9
2026-05-04,REQ004,35,15,11,6,2,0,0,9,20
2026-05-11,REQ004,47,24,16,6,1,0,0,10,8
2026-03-23,REQ005,11,4,3,1,0,0,0,5,9
2026-03-30,REQ005,14,4,3,1,0,0,0,4,10
2026-04-06,REQ005,12,4,3,1,0,0,0,6,20
2026-04-13,REQ005,14,5,3,1,0,0,0,6,34
2026-04-20,REQ005,15,6,4,2,0,0,0,7,22
2026-04-27,REQ005,14,4,3,2,1,0,0,6,27
2026-05-04,REQ005,14,5,3,1,0,0,0,2,22
2026-05-11,REQ005,15,6,4,2,0,0,0,5,23
2026-03-23,REQ006,23,9,5,2,1,0,0,7,18
2026-03-30,REQ006,27,14,11,4,1,0,0,6,35
2026-04-06,REQ006,20,10,6,3,1,0,0,5,30
2026-04-13,REQ006,21,10,8,3,1,0,0,5,20
2026-04-20,REQ006,28,17,12,4,2,0,0,7,35
2026-04-27,REQ006,20,12,7,4,1,0,0,6,10
2026-05-04,REQ006,23,15,10,5,2,1,0,9,20
2026-05-11,REQ006,27,15,12,5,2,0,0,8,17
2026-03-23,REQ007,28,13,7,4,2,0,0,6,9
2026-03-30,REQ007,24,9,6,3,1,0,0,4,13
2026-04-06,REQ007,22,12,8,5,2,0,0,9,16
2026-04-13,REQ007,25,14,11,5,1,0,0,5,26
2026-04-20,REQ007,23,15,11,5,1,0,0,4,15
2026-04-27,REQ007,24,11,7,4,1,0,0,4,26
2026-05-04,REQ007,29,17,14,9,4,1,0,4,27
2026-05-11,REQ007,28,12,7,3,1,0,0,6,28
2026-03-23,REQ008,16,5,3,1,0,0,0,4,18
2026-03-30,REQ008,16,4,2,1,0,0,0,3,16
2026-04-06,REQ008,16,6,5,2,1,0,0,1,12
2026-04-13,REQ008,16,4,3,2,1,0,0,1,33
2026-04-20,REQ008,14,3,2,1,0,0,0,6,19
2026-04-27,REQ008,12,3,2,1,0,0,0,1,28
2026-05-04,REQ008,16,6,4,2,0,0,0,5,11
2026-05-11,REQ008,12,4,2,1,0,0,0,5,26
2026-03-23,REQ009,35,14,10,5,1,0,0,9,19
2026-03-30,REQ009,28,9,6,2,1,0,0,8,19
2026-04-06,REQ009,26,7,6,3,1,0,0,6,27
2026-04-13,REQ009,38,9,6,3,1,0,0,7,14
2026-04-20,REQ009,33,12,7,3,1,0,0,6,12
2026-04-27,REQ009,32,12,7,3,1,0,0,9,18
2026-05-04,REQ009,26,7,4,1,0,0,0,5,24
2026-05-11,REQ009,33,10,6,2,1,0,0,6,22
2026-03-23,REQ010,47,17,12,5,2,0,0,5,36
2026-03-30,REQ010,33,18,10,3,1,0,0,12,24
2026-04-06,REQ010,36,18,12,6,1,0,0,10,31
2026-04-13,REQ010,45,22,17,7,2,0,0,7,21
2026-04-20,REQ010,37,16,13,6,2,0,0,6,11
2026-04-27,REQ010,43,20,12,3,1,0,0,11,19
2026-05-04,REQ010,45,29,19,10,2,0,0,10,26
2026-05-11,REQ010,40,16,11,6,1,0,0,7,26
2026-03-23,REQ011,23,10,8,3,1,0,0,7,34
2026-03-30,REQ011,22,5,3,1,0,0,0,3,26
2026-04-06,REQ011,22,6,5,2,0,0,0,4,18
2026-04-13,REQ011,18,5,3,1,0,0,0,6,9
2026-04-20,REQ011,22,6,4,1,0,0,0,2,19
2026-04-27,REQ011,20,6,4,1,0,0,0,6,9
